file_name,alt_text,source
astronaut-cockpit-exhibit.webp,"Astronaut suit and helmet display in a cockpit exhibit at a science museum.",gemini
newtons-cradle-science-exhibit.webp,"Orange Newton's Cradle with one sphere pulled back, an interactive science exhibit.",gemini
science-museum-vr-painting.webp,"Person in VR headset painting with a brush and palette, an interactive learning experience.",gemini
lunar-eclipse-phases.webp,"Nine moon images showing the full progression of a lunar eclipse, a captivating astronomy event.",gemini
interactive-science-museum-exhibition.webp,"Bright science museum hall with a blue rocket, colorful giraffe, and interactive exhibits.",gemini
science-museum-giant-ant-exhibit.webp,"Large ant sculpture and mural in a science museum, part of an interactive exhibit.",gemini
human-heart-anatomy-model.webp,"Colorful anatomical model of a human heart, an exhibit for biology education.",gemini
human-skull-anatomy-model.webp,"Transparent human skull model with visible brain, arteries, and nerves. Science museum exhibit.",gemini
vintage-science-lab-equipment.webp,"Vintage laboratory equipment setup for chemical experiments, illustrating scientific research.",gemini
child-learning-stem-math.webp,"Curious child looking at a chalkboard with math and science drawings. Ideal for science education.",gemini
haugesund-science-museum-interior.webp,"Modern multi-level interior of a building with bookshelves and stairs. Science museum.",gemini
person-viewing-museum-hall.webp,"Person in red jacket looking at a grand hall with a domed ceiling, possibly a museum.",gemini
mammoth-skeleton-science-museum.webp,"A large mammoth skeleton with tusks displayed in a science museum exhibit.",gemini
child-interactive-learning-toy.webp,"Child's hand moving a yellow block on a red wire of an interactive learning toy.",gemini
grand-science-museum-hall.webp,"Interior of a grand science museum hall with ornate pillars and display cases.",gemini
open-science-symbol.webp,"Green open science symbol with a keyhole and orbiting electrons, representing scientific research.",gemini
man-using-microscope.webp,"A man looks closely into a microscope, engaged in science education.",gemini
kids-science-education.webp,"Young boy reading a children's encyclopedia, fostering science education and curiosity.",gemini
science-museum-elephant-exhibit.webp,"Spacious science museum hall with a prominent elephant exhibit. A visitor observes the museum exhibition.",gemini
human-anatomy-model-science-museum.webp,"Human anatomy model with internal organs and split head at a science museum exhibit.",gemini
person-vr-headset.webp,"Person wearing a VR headset and headphones, engaged in interactive learning.",gemini
science-lab-flasks.webp,"Three colorful chemistry flasks with liquids and a blank cloud, representing science education.",gemini
scientist-large-research-equipment.webp,"Scientist in lab coat and glasses working with large scientific research equipment.",gemini
haugesund-science-museum-facade.webp,"Colorful building facade with large 'MUSEUM' letters. Science museum.",gemini
primate-skeletons-evolution-display.webp,"Human, gorilla, and chimpanzee skeletons displayed, illustrating evolution at a science museum.",gemini
girl-science-experiment.webp,"Cartoon girl with glasses waving, standing by flasks of colored liquid. Science education.",gemini
whale-skeleton-science-museum.webp,"Visitors admire a large whale skeleton exhibit in a grand science museum hall.",gemini
abstract-network-structure.webp,"Abstract geometric structure of interconnected lines and nodes, representing technology.",gemini
